code,name,nationality,gender,age,age_grouped,country,country_code,current,disciplines,function,events,sporting_relatives,ismedalist_true,medallists.event,medallists.is_medallist,medallists.medal_type
1895210,AABERG IVERSEN Sarah,Denmark,Female,35,33-39,Denmark,DEN,true,Handball,Athlete,Women,TRUE,1,Women,true,Bronze Medal
1878518,AARDAHL Maren,Norway,Female,31,26-32,Norway,NOR,true,Handball,Athlete,Women,FALSE,1,Women,true,Gold Medal
1968845,AARTS Laura,Netherlands,Female,28,26-32,Netherlands,NED,true,Water Polo,Athlete,Women,FALSE,1,Women,true,Bronze Medal
1942753,ABDI Bashir,Belgium,Male,36,33-39,Belgium,BEL,true,Athletics,Athlete,"""Mens Marathon""",FALSE,1,Men's Marathon,true,Silver Medal
1562157,ABDULLAEV Gulomjon,Uzbekistan,Male,26,26-32,Uzbekistan,UZB,true,Wrestling,Athlete,"""Mens Freestyle 57kg""",FALSE,1,Men's Freestyle 57kg,true,Bronze Medal
1896763,ABE Hifumi,Japan,Male,27,26-32,Japan,JPN,true,Judo,Athlete,"Men -66 kg, Mixed Team",TRUE,1,Men -66 kg,true,Gold Medal
1896763,ABE Hifumi,Japan,Male,27,26-32,Japan,JPN,true,Judo,Athlete,"Men -66 kg, Mixed Team",TRUE,1,Mixed Team,true,Silver Medal
1896760,ABE Uta,Japan,Female,24,19-25,Japan,JPN,true,Judo,Athlete,"Women -52 kg, Mixed Team",TRUE,1,Mixed Team,true,Silver Medal
1543026,ABHISHEK Abhishek,India,Male,25,19-25,India,IND,true,Hockey,Athlete,Men,FALSE,1,Men,true,Bronze Medal
1879120,ABOUDOU MOINDZE Djamili-Dini,France,Male,29,26-32,France,FRA,true,Boxing,Athlete,"""Mens +92kg""",FALSE,1,Men's +92kg,true,Bronze Medal
1935199,ACOSTA FERNANDEZ Yasmani,Chile,Male,36,33-39,Chile,CHI,true,Wrestling,Athlete,"""Mens Greco-Roman 130kg""",FALSE,1,Men's Greco-Roman 130kg,true,Silver Medal
1550285,ADAM Adriana,Romania,Female,26,26-32,Romania,ROU,true,Rowing,Athlete,"""Womens Eight"", ""Womens Four""",TRUE,1,Women's Eight,true,Gold Medal
1541270,ADDIS Baptiste,France,Male,18,12-18,France,FRA,true,Archery,Athlete,"""Mens Individual"", ""Mens Team"", Mixed Team",FALSE,1,Men's Team,true,Silver Medal
1954688,ADEBAYO Bam,United States,Male,27,26-32,United States,USA,true,Basketball,Athlete,Men,FALSE,1,Men,true,Gold Medal
1967574,ADRIANA,Brazil,Female,28,26-32,Brazil,BRA,true,Football,Athlete,Women,FALSE,1,Women,true,Silver Medal
